date,semester,rank,team,acronym,total_points,previous_points,diff_points
1992,2,125,San Marino,SMR,4.0,0.0,4.0
1992,2,47,Saudi Arabia,KSA,28.0,0.0,28.0
1992,2,22,Scotland,SCO,43.0,0.0,43.0
1992,2,51,Senegal,SEN,27.0,0.0,27.0
1992,2,142,Seychelles,SEY,1.0,0.0,1.0
1992,2,77,Sierra Leone,SLE,16.0,0.0,16.0
1992,2,88,Singapore,SGP,13.0,0.0,13.0
1992,2,130,Slovenia,SVN,3.0,0.0,3.0
1992,2,135,Solomon Islands,SOL,2.0,0.0,2.0
1992,2,149,Somalia,SOM,0.0,0.0,0.0
1992,2,118,South Africa,RSA,5.0,0.0,5.0
1992,2,47,South Korea,KOR,28.0,0.0,28.0
1992,2,14,Spain,ESP,49.0,0.0,49.0
1992,2,110,Sudan,SDN,7.0,0.0,7.0
1992,2,92,Suriname,SUR,12.0,0.0,12.0
1992,2,3,Sweden,SWE,56.0,0.0,56.0
1992,2,10,Switzerland,SUI,51.0,0.0,51.0
1992,2,96,Syria,SYR,11.0,0.0,11.0
1992,2,118,Tahiti,TAH,5.0,0.0,5.0
1992,2,80,Tanzania,TAN,15.0,0.0,15.0
1992,2,74,Thailand,THA,18.0,0.0,18.0
1992,2,98,Togo,TOG,10.0,0.0,10.0
1992,2,61,Trinidad and Tobago,TRI,24.0,0.0,24.0
1992,2,37,Tunisia,TUN,35.0,0.0,35.0
1992,2,42,Turkey,TUR,31.0,0.0,31.0
1992,2,92,Uganda,UGA,12.0,0.0,12.0
1992,2,125,Ukraine,UKR,4.0,0.0,4.0
1992,2,57,United Arab Emirates,UAE,25.0,0.0,25.0
1992,2,22,United States,USA,43.0,0.0,43.0
1992,2,16,Uruguay,URU,48.0,0.0,48.0
1992,2,149,Vanuatu,VAN,0.0,0.0,0.0
1992,2,118,Venezuela,VEN,5.0,0.0,5.0
1992,2,28,Wales,WAL,40.0,0.0,40.0
1992,2,114,Yemen,YEM,6.0,0.0,6.0
1992,2,29,Yugoslavia,YUG,39.0,0.0,39.0
1992,2,57,Zaire,ZAI,25.0,0.0,25.0
1992,2,31,Zambia,ZAM,38.0,0.0,38.0
1992,2,51,Zimbabwe,ZIM,27.0,0.0,27.0
1993,2,89,Albania,ALB,16.0,16.0,0.0
1993,2,33,Algeria,ALG,42.0,42.0,0.0
1993,2,100,Angola,ANG,13.0,14.0,-1.0
1993,2,117,Antigua and Barbuda,ATG,9.0,7.0,2.0
1993,2,8,Argentina,ARG,55.0,55.0,0.0
1993,2,155,Aruba,ARU,0.0,0.0,0.0
1993,2,48,Australia,AUS,35.0,35.0,0.0
1993,2,36,Austria,AUT,40.0,41.0,-1.0
1993,1,153,Bahamas,BAH,0.0,0.0,0.0
1993,2,78,Bahrain,BHR,21.0,21.0,0.0
1993,2,115,Bangladesh,BAN,10.0,8.0,2.0
1993,2,108,Barbados,BRB,11.0,11.0,0.0
1993,2,134,Belarus,BLR,5.0,5.0,0.0
1993,2,24,Belgium,BEL,45.0,47.0,-2.0
1993,2,129,Benin,BEN,7.0,7.0,0.0
1993,2,81,Bermuda,BER,20.0,20.0,0.0
1993,2,57,Bolivia,BOL,31.0,31.0,0.0
1993,2,138,Botswana,BOT,4.0,4.0,0.0
1993,2,1,Brazil,BRA,59.0,58.0,1.0
1993,2,145,Brunei Darussalam,BRU,2.0,2.0,0.0
1993,2,29,Bulgaria,BUL,44.0,46.0,-2.0
1993,2,123,Burkina Faso,BFA,8.0,8.0,0.0
1993,2,100,Burundi,BDI,13.0,13.0,0.0
1993,2,22,Cameroon,CMR,46.0,46.0,0.0
1993,2,43,Canada,CAN,36.0,36.0,0.0
1993,2,145,Cape Verde Islands,CPV,2.0,2.0,0.0
1993,2,153,Cayman Islands,CAY,1.0,1.0,0.0
1993,2,155,Central African Republic,CTA,0.0,0.0,0.0
1993,2,155,Chad,CHA,0.0,0.0,0.0
1993,2,55,Chile,CHI,32.0,33.0,-1.0
1993,2,52,China,CHN,33.0,33.0,0.0
1993,2,155,Chinese Taipei,TPE,0.0,0.0,0.0
1993,2,21,Colombia,COL,48.0,49.0,-1.0
1993,2,100,Congo,CGO,13.0,13.0,0.0
1993,2,41,Costa Rica,CRC,37.0,39.0,-2.0
1993,2,117,Croatia,CRO,9.0,8.0,1.0
1993,2,155,Cuba,CUB,0.0,0.0,0.0
1993,2,70,Cyprus,CYP,25.0,24.0,1.0
1993,2,19,Czechoslovakia,TCH,49.0,50.0,-1.0
1993,2,33,Côte d'Ivoire,CIV,42.0,41.0,1.0
1993,2,5,Denmark,DEN,57.0,57.0,0.0
1993,2,145,Dominican Republic,DOM,2.0,2.0,0.0
1993,2,48,Ecuador,ECU,35.0,36.0,-1.0
1993,2,24,Egypt,EGY,45.0,43.0,2.0
1993,2,65,El Salvador,SLV,28.0,29.0,-1.0
1993,2,10,England,ENG,54.0,56.0,-2.0
1993,2,155,Equatorial Guinea,EQG,0.0,0.0,0.0
1993,2,108,Estonia,EST,11.0,11.0,0.0
1993,2,98,Eswatini,SWZ,14.0,14.0,0.0
1993,2,94,Ethiopia,ETH,15.0,16.0,-1.0
1993,2,115,Faroe Islands,FRO,10.0,10.0,0.0
1993,2,104,Fiji,FIJ,12.0,12.0,0.0
1993,2,43,Finland,FIN,36.0,36.0,0.0
1993,2,13,France,FRA,52.0,52.0,0.0
1993,2,60,Gabon,GAB,30.0,32.0,-2.0
1993,2,123,Gambia,GAM,8.0,0.0,8.0
1993,2,1,Germany,GER,59.0,59.0,0.0
1993,2,36,Ghana,GHA,40.0,37.0,3.0
1993,2,33,Greece,GRE,42.0,42.0,0.0
1993,2,142,Grenada,GRN,3.0,4.0,-1.0
1993,2,117,Guatemala,GUA,9.0,9.0,0.0
1993,2,62,Guinea,GUI,29.0,30.0,-1.0
1993,2,129,Guinea-Bissau,GNB,7.0,5.0,2.0
1993,2,134,Guyana,GUY,5.0,5.0,0.0
1993,2,142,Haiti,HAI,3.0,3.0,0.0
1993,2,39,Honduras,HON,38.0,38.0,0.0
1993,2,108,Hong Kong,HKG,11.0,11.0,0.0
1993,2,50,Hungary,HUN,34.0,35.0,-1.0
1993,2,43,Iceland,ISL,36.0,36.0,0.0
1993,2,100,India,IND,13.0,13.0,0.0
1993,2,104,Indonesia,IDN,12.0,12.0,0.0
1993,2,57,Iran,IRN,31.0,31.0,0.0
1993,2,65,Iraq,IRQ,28.0,29.0,-1.0
1993,2,10,Ireland,IRL,54.0,54.0,0.0
1993,2,57,Israel,ISR,31.0,30.0,1.0
1993,2,1,Italy,ITA,59.0,60.0,-1.0
1993,2,78,Jamaica,JAM,21.0,21.0,0.0
1993,2,43,Japan,JPN,36.0,36.0,0.0
1993,2,86,Jordan,JOR,18.0,18.0,0.0
1993,2,73,Kenya,KEN,24.0,25.0,-1.0
1993,2,62,Kuwait,KUW,29.0,30.0,-1.0
1993,2,145,Laos,LAO,2.0,2.0,0.0
1993,2,86,Latvia,LVA,18.0,18.0,0.0
1993,2,108,Lebanon,LBN,11.0,11.0,0.0
1993,2,134,Lesotho,LES,5.0,5.0,0.0
1993,2,123,Liberia,LBR,8.0,9.0,-1.0
1993,2,145,Libya,LBY,2.0,2.0,0.0
1993,2,155,Liechtenstein,LIE,0.0,0.0,0.0
1993,2,85,Lithuania,LTU,19.0,19.0,0.0
1993,2,108,Luxembourg,LUX,11.0,11.0,0.0
1993,2,155,Macau,MAC,0.0,0.0,0.0
1993,2,89,Madagascar,MAD,16.0,18.0,-2.0
1993,2,67,Malawi,MWI,26.0,26.0,0.0
1993,2,78,Malaysia,MAS,21.0,21.0,0.0
1993,2,145,Maldives,MDV,2.0,0.0,2.0
1993,2,70,Mali,MLI,25.0,23.0,2.0
1993,2,81,Malta,MLT,20.0,18.0,2.0
1993,2,142,Mauritania,MTN,3.0,2.0,1.0
1993,2,129,Mauritius,MRI,7.0,7.0,0.0
1993,2,16,Mexico,MEX,51.0,51.0,0.0
1993,2,29,Morocco,MAR,44.0,44.0,0.0
1993,2,104,Mozambique,MOZ,12.0,12.0,0.0
1993,2,108,Myanmar,MYA,11.0,11.0,0.0
1993,2,155,Namibia,NAM,0.0,0.0,0.0
1993,2,123,Nepal,NEP,8.0,0.0,8.0
1993,2,5,Netherlands,NED,57.0,59.0,-2.0
1993,2,77,New Zealand,NZL,22.0,22.0,0.0
1993,2,153,Nicaragua,NCA,1.0,1.0,0.0
1993,2,81,Niger,NIG,20.0,20.0,0.0
1993,2,16,Nigeria,NGA,51.0,52.0,-1.0
1993,2,62,North Korea,PRK,29.0,31.0,-2.0
1993,2,39,Northern Ireland,NIR,38.0,37.0,1.0
1993,2,4,Norway,NOR,58.0,58.0,0.0
1993,2,94,Oman,OMA,15.0,13.0,2.0
1993,2,138,Pakistan,PAK,4.0,2.0,2.0
1993,2,129,Panama,PAN,7.0,7.0,0.0
1993,2,60,Paraguay,PAR,30.0,30.0,0.0
1993,2,73,Peru,PER,24.0,25.0,-1.0
1993,2,155,Philippines,PHI,0.0,0.0,0.0
1993,2,24,Poland,POL,45.0,45.0,0.0
1993,2,19,Portugal,POR,49.0,49.0,0.0
1993,2,104,Puerto Rico,PUR,12.0,12.0,0.0
1993,2,52,Qatar,QAT,33.0,33.0,0.0
1993,2,13,Romania,ROU,52.0,55.0,-3.0
1993,2,13,Russia,RUS,52.0,52.0,0.0
1993,2,155,Saint Kitts and Nevis,SKN,0.0,0.0,0.0
1993,2,138,Saint Lucia,LCA,4.0,4.0,0.0
1993,2,123,Saint Vincent and the Grenadines,VIN,8.0,8.0,0.0
1993,2,117,San Marino,SMR,9.0,9.0,0.0
1993,2,38,Saudi Arabia,KSA,39.0,38.0,1.0
1993,2,24,Scotland,SCO,45.0,45.0,0.0
1993,2,55,Senegal,SEN,32.0,30.0,2.0
1993,2,155,Seychelles,SEY,0.0,0.0,0.0
1993,2,75,Sierra Leone,SLE,23.0,19.0,4.0
1993,2,75,Singapore,SGP,23.0,24.0,-1.0
1993,2,145,Slovakia,SVK,2.0,2.0,0.0
1993,2,133,Slovenia,SVN,6.0,6.0,0.0
1993,2,145,Solomon Islands,SOL,2.0,2.0,0.0
1993,2,94,South Africa,RSA,15.0,15.0,0.0
1993,2,41,South Korea,KOR,37.0,38.0,-1.0
1993,2,5,Spain,ESP,57.0,57.0,0.0
1993,2,123,Sri Lanka,SRI,8.0,0.0,8.0
1993,2,117,Sudan,SDN,9.0,9.0,0.0
1993,2,117,Suriname,SUR,9.0,9.0,0.0
1993,2,8,Sweden,SWE,55.0,55.0,0.0
1993,2,10,Switzerland,SUI,54.0,55.0,-1.0
1993,2,81,Syria,SYR,20.0,20.0,0.0
1993,2,138,Tahiti,TAH,4.0,4.0,0.0
1993,2,98,Tanzania,TAN,14.0,13.0,1.0
1993,2,67,Thailand,THA,26.0,26.0,0.0
1993,2,108,Togo,TOG,11.0,11.0,0.0
1993,2,88,Trinidad and Tobago,TRI,17.0,17.0,0.0
1993,2,32,Tunisia,TUN,43.0,40.0,3.0
1993,2,52,Turkey,TUR,33.0,34.0,-1.0
1993,2,94,Uganda,UGA,15.0,15.0,0.0
1993,2,89,Ukraine,UKR,16.0,16.0,0.0
1993,2,50,United Arab Emirates,UAE,34.0,32.0,2.0
1993,2,22,United States,USA,46.0,45.0,1.0
1993,2,16,Uruguay,URU,51.0,51.0,0.0
1993,2,155,Vanuatu,VAN,0.0,0.0,0.0
1993,2,89,Venezuela,VEN,16.0,16.0,0.0
1993,2,134,Vietnam,VIE,5.0,5.0,0.0
1993,2,29,Wales,WAL,44.0,44.0,0.0
1993,2,89,Yemen,YEM,16.0,16.0,0.0
1993,2,67,Yugoslavia,YUG,26.0,28.0,-2.0
1993,2,70,Zaire,ZAI,25.0,25.0,0.0
1993,2,24,Zambia,ZAM,45.0,44.0,1.0
1993,2,43,Zimbabwe,ZIM,36.0,36.0,0.0
1994,2,98,Albania,ALB,15.0,14.0,1.0
1994,2,55,Algeria,ALG,32.0,32.0,0.0
1994,2,102,Angola,ANG,14.0,14.0,0.0
1994,2,136,Antigua and Barbuda,ATG,7.0,7.0,0.0
1994,2,10,Argentina,ARG,57.0,58.0,-1.0
1994,2,140,Armenia,ARM,6.0,6.0,0.0
1994,2,168,Aruba,ARU,0.0,0.0,0.0
1994,2,55,Australia,AUS,32.0,32.0,0.0
1994,2,47,Austria,AUT,36.0,36.0,0.0
1994,2,145,Azerbaijan,AZE,5.0,4.0,1.0
1994,2,69,Bahrain,BHR,26.0,26.0,0.0
1994,2,130,Bangladesh,BAN,9.0,10.0,-1.0
1994,2,102,Barbados,BRB,14.0,14.0,0.0
1994,2,121,Belarus,BLR,11.0,11.0,0.0
1994,2,24,Belgium,BEL,47.0,48.0,-1.0
1994,2,140,Benin,BEN,6.0,6.0,0.0
1994,2,102,Bermuda,BER,14.0,15.0,-1.0
1994,2,42,Bolivia,BOL,37.0,37.0,0.0
1994,2,145,Botswana,BOT,5.0,5.0,0.0
1994,2,1,Brazil,BRA,67.0,67.0,0.0
1994,2,163,Brunei Darussalam,BRU,1.0,1.0,0.0
1994,2,12,Bulgaria,BUL,54.0,52.0,2.0
1994,2,97,Burkina Faso,BFA,16.0,16.0,0.0
1994,2,121,Burundi,BDI,11.0,11.0,0.0
1994,2,29,Cameroon,CMR,44.0,44.0,0.0
1994,2,62,Canada,CAN,30.0,30.0,0.0
1994,2,159,Cape Verde Islands,CPV,2.0,2.0,0.0
1994,2,148,Cayman Islands,CAY,4.0,4.0,0.0
1994,2,168,Central African Republic,CTA,0.0,0.0,0.0
1994,2,168,Chad,CHA,0.0,0.0,0.0
1994,2,47,Chile,CHI,36.0,36.0,0.0
1994,2,40,China,CHN,38.0,38.0,0.0
1994,2,168,Chinese Taipei,TPE,0.0,0.0,0.0
1994,2,17,Colombia,COL,53.0,53.0,0.0
1994,2,111,Congo,CGO,12.0,12.0,0.0
1994,2,64,Costa Rica,CRC,28.0,28.0,0.0
1994,2,62,Croatia,CRO,30.0,30.0,0.0
1994,2,168,Cuba,CUB,0.0,0.0,0.0
1994,2,66,Cyprus,CYP,27.0,26.0,1.0
1994,2,34,Czech Republic,CZE,41.0,41.0,0.0
1994,2,24,Côte d'Ivoire,CIV,47.0,46.0,1.0
1994,2,12,Denmark,DEN,54.0,54.0,0.0
1994,2,168,Djibouti,DJI,0.0,0.0,0.0
1994,2,163,Dominican Republic,DOM,1.0,1.0,0.0
1994,2,55,Ecuador,ECU,32.0,32.0,0.0
1994,2,22,Egypt,EGY,48.0,48.0,0.0
1994,2,80,El Salvador,SLV,23.0,23.0,0.0
1994,2,18,England,ENG,52.0,53.0,-1.0
1994,2,168,Equatorial Guinea,EQG,0.0,0.0,0.0
1994,2,111,Estonia,EST,12.0,12.0,0.0
1994,2,121,Eswatini,SWZ,11.0,11.0,0.0
1994,2,111,Ethiopia,ETH,12.0,12.0,0.0
1994,2,89,FYR Macedonia,MKD,19.0,15.0,4.0
1994,2,133,Faroe Islands,FRO,8.0,9.0,-1.0
1994,2,111,Fiji,FIJ,12.0,12.0,0.0
1994,2,37,Finland,FIN,39.0,37.0,2.0
1994,2,18,France,FRA,52.0,52.0,0.0
1994,2,64,Gabon,GAB,28.0,25.0,3.0
1994,2,111,Gambia,GAM,12.0,14.0,-2.0
1994,2,92,Georgia,GEO,18.0,17.0,1.0
1994,2,3,Germany,GER,61.0,61.0,0.0
1994,2,24,Ghana,GHA,47.0,46.0,1.0
1994,2,27,Greece,GRE,45.0,43.0,2.0
1994,2,140,Grenada,GRN,6.0,6.0,0.0
1994,2,148,Guatemala,GUA,4.0,5.0,-1.0
1994,2,66,Guinea,GUI,27.0,27.0,0.0
1994,2,121,Guinea-Bissau,GNB,11.0,12.0,-1.0
1994,2,148,Guyana,GUY,4.0,4.0,0.0
1994,2,130,Haiti,HAI,9.0,9.0,0.0
1994,2,53,Honduras,HON,34.0,32.0,2.0
1994,2,98,Hong Kong,HKG,15.0,15.0,0.0
1994,2,59,Hungary,HUN,31.0,31.0,0.0
1994,2,37,Iceland,ISL,39.0,39.0,0.0
1994,2,108,India,IND,13.0,14.0,-1.0
1994,2,133,Indonesia,IDN,8.0,8.0,0.0
1994,2,74,Iran,IRN,25.0,25.0,0.0
1994,2,87,Iraq,IRQ,20.0,20.0,0.0
1994,2,7,Ireland,IRL,58.0,58.0,0.0
1994,2,42,Israel,ISR,37.0,35.0,2.0
1994,2,3,Italy,ITA,61.0,61.0,0.0
1994,2,92,Jamaica,JAM,18.0,18.0,0.0
1994,2,36,Japan,JPN,40.0,40.0,0.0
1994,2,111,Jordan,JOR,12.0,12.0,0.0
1994,2,148,Kazakhstan,KAZ,4.0,4.0,0.0
1994,2,83,Kenya,KEN,22.0,18.0,4.0
1994,2,54,Kuwait,KUW,33.0,33.0,0.0
1994,2,163,Kyrgyz Republic,KGZ,1.0,1.0,0.0
1994,2,159,Laos,LAO,2.0,2.0,0.0
1994,2,69,Latvia,LVA,26.0,26.0,0.0
1994,2,127,Lebanon,LBN,10.0,10.0,0.0
1994,2,133,Lesotho,LES,8.0,8.0,0.0
1994,2,127,Liberia,LBR,10.0,10.0,0.0
1994,2,163,Libya,LBY,1.0,1.0,0.0
1994,2,155,Liechtenstein,LIE,3.0,3.0,0.0
1994,2,59,Lithuania,LTU,31.0,31.0,0.0
1994,2,127,Luxembourg,LUX,10.0,9.0,1.0
1994,2,168,Macau,MAC,0.0,0.0,0.0
1994,2,111,Madagascar,MAD,12.0,13.0,-1.0
1994,2,80,Malawi,MWI,23.0,23.0,0.0
1994,2,89,Malaysia,MAS,19.0,19.0,0.0
1994,2,159,Maldives,MDV,2.0,2.0,0.0
1994,2,50,Mali,MLI,35.0,34.0,1.0
1994,2,76,Malta,MLT,24.0,23.0,1.0
1994,2,136,Mauritania,MTN,7.0,8.0,-1.0
1994,2,145,Mauritius,MRI,5.0,5.0,0.0
1994,2,12,Mexico,MEX,54.0,52.0,2.0
1994,2,111,Moldova,MDA,12.0,12.0,0.0
1994,2,32,Morocco,MAR,43.0,43.0,0.0
1994,2,92,Mozambique,MOZ,18.0,18.0,0.0
1994,2,121,Myanmar,MYA,11.0,11.0,0.0
1994,2,121,Namibia,NAM,11.0,8.0,3.0
1994,2,136,Nepal,NEP,7.0,8.0,-1.0
1994,2,6,Netherlands,NED,60.0,60.0,0.0
1994,2,98,New Zealand,NZL,15.0,15.0,0.0
1994,2,163,Nicaragua,NCA,1.0,1.0,0.0
1994,2,69,Niger,NIG,26.0,26.0,0.0
1994,2,12,Nigeria,NGA,54.0,54.0,0.0
1994,2,83,North Korea,PRK,22.0,22.0,0.0
1994,2,42,Northern Ireland,NIR,37.0,37.0,0.0
1994,2,7,Norway,NOR,58.0,57.0,1.0
1994,2,69,Oman,OMA,26.0,25.0,1.0
1994,2,155,Pakistan,PAK,3.0,3.0,0.0
1994,2,140,Panama,PAN,6.0,6.0,0.0
1994,2,87,Paraguay,PAR,20.0,20.0,0.0
1994,2,69,Peru,PER,26.0,24.0,2.0
1994,2,168,Philippines,PHI,0.0,0.0,0.0
1994,2,29,Poland,POL,44.0,42.0,2.0
1994,2,20,Portugal,POR,51.0,48.0,3.0
1994,2,111,Puerto Rico,PUR,12.0,12.0,0.0
1994,2,59,Qatar,QAT,31.0,31.0,0.0
1994,2,10,Romania,ROU,57.0,57.0,0.0
1994,2,12,Russia,RUS,54.0,54.0,0.0
1994,2,168,Saint Kitts and Nevis,SKN,0.0,0.0,0.0
1994,2,155,Saint Lucia,LCA,3.0,3.0,0.0
1994,2,140,Saint Vincent and the Grenadines,VIN,6.0,6.0,0.0
1994,2,130,San Marino,SMR,9.0,8.0,1.0
1994,2,27,Saudi Arabia,KSA,45.0,45.0,0.0
1994,2,32,Scotland,SCO,43.0,43.0,0.0
1994,2,50,Senegal,SEN,35.0,34.0,1.0
1994,2,168,Seychelles,SEY,0.0,0.0,0.0
1994,2,76,Sierra Leone,SLE,24.0,26.0,-2.0
1994,2,92,Singapore,SGP,18.0,18.0,0.0
1994,2,42,Slovakia,SVK,37.0,37.0,0.0
1994,2,80,Slovenia,SVN,23.0,23.0,0.0
1994,2,159,Solomon Islands,SOL,2.0,2.0,0.0
1994,2,155,Somalia,SOM,3.0,0.0,3.0
1994,2,55,South Africa,RSA,32.0,28.0,4.0
1994,2,34,South Korea,KOR,41.0,41.0,0.0
1994,2,2,Spain,ESP,62.0,61.0,1.0
1994,2,136,Sri Lanka,SRI,7.0,7.0,0.0
1994,2,111,Sudan,SDN,12.0,12.0,0.0
1994,2,102,Suriname,SUR,14.0,14.0,0.0
1994,2,3,Sweden,SWE,61.0,62.0,-1.0
